Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
2	0	257	appFace://	InInterests	1.28	0	0	0
2	0	257	appFace://	OutInterests	3.52	0	0	0
2	0	257	appFace://	InData	0.64	0.315	0	0
2	0	257	appFace://	OutData	0	0	0	0
2	0	257	appFace://	InNacks	0	0	0	0
2	0	257	appFace://	OutNacks	0	0	0	0
2	0	257	appFace://	InSatisfiedInterests	0	0	0	0
2	0	257	appFace://	InTimedOutInterests	0	0	0	0
2	0	257	appFace://	OutSatisfiedInterests	0.64	0	0	0
2	0	257	appFace://	OutTimedOutInterests	0	0	0	0
2	0	258	appFace://	InInterests	1.92	0	0	0
2	0	258	appFace://	OutInterests	3.52	0	0	0
2	0	258	appFace://	InData	0	0	0	0
2	0	258	appFace://	OutData	0.64	0.315	0	0
2	0	258	appFace://	InNacks	0	0	0	0
2	0	258	appFace://	OutNacks	0	0	0	0
2	0	258	appFace://	InSatisfiedInterests	0.64	0	0	0
2	0	258	appFace://	InTimedOutInterests	0	0	0	0
2	0	258	appFace://	OutSatisfiedInterests	0.64	0	0	0
2	0	258	appFace://	OutTimedOutInterests	0	0	0	0
2	0	259	appFace://	InInterests	2.24	0	0	0
2	0	259	appFace://	OutInterests	3.2	0	0	0
2	0	259	appFace://	InData	0	0	0	0
2	0	259	appFace://	OutData	0.64	0.315	0	0
2	0	259	appFace://	InNacks	0	0	0	0
2	0	259	appFace://	OutNacks	0	0	0	0
2	0	259	appFace://	InSatisfiedInterests	0.64	0	0	0
2	0	259	appFace://	InTimedOutInterests	0	0	0	0
2	0	259	appFace://	OutSatisfiedInterests	0.64	0	0	0
2	0	259	appFace://	OutTimedOutInterests	0	0	0	0
2	0	-1	all	SatisfiedInterests	0.7424	0	0	0
2	0	-1	all	TimedOutInterests	0	0	0	0
2.5	0	1	internal://	InInterests	0	0	0	0
2.5	0	1	internal://	OutInterests	0	0	0	0
2.5	0	1	internal://	InData	0	0	0	0
2.5	0	1	internal://	OutData	0	0	0	0
2.5	0	1	internal://	InNacks	0	0	0	0
2.5	0	1	internal://	OutNacks	0	0	0	0
2.5	0	1	internal://	InSatisfiedInterests	0	0	0	0
2.5	0	1	internal://	InTimedOutInterests	0	0	0	0
2.5	0	1	internal://	OutSatisfiedInterests	0.01792	0	0	0
2.5	0	1	internal://	OutTimedOutInterests	0	0	0	0
2.5	0	2	internal://	InInterests	0	0	0	0
2.5	0	2	internal://	OutInterests	0	0	0	0
2.5	0	2	internal://	InData	0	0	0	0
2.5	0	2	internal://	OutData	0	0	0	0
2.5	0	2	internal://	InNacks	0	0	0	0
2.5	0	2	internal://	OutNacks	0	0	0	0
2.5	0	2	internal://	InSatisfiedInterests	0.01024	0	0	0
2.5	0	2	internal://	InTimedOutInterests	0	0	0	0
2.5	0	2	internal://	OutSatisfiedInterests	0	0	0	0
2.5	0	2	internal://	OutTimedOutInterests	0	0	0	0
2.5	0	256	internal://	InInterests	0	0	0	0
2.5	0	256	internal://	OutInterests	0	0	0	0
2.5	0	256	internal://	InData	0	0	0	0
2.5	0	256	internal://	OutData	0	0	0	0
2.5	0	256	internal://	InNacks	0	0	0	0
2.5	0	256	internal://	OutNacks	0	0	0	0
2.5	0	256	internal://	InSatisfiedInterests	0.00768	0	0	0
2.5	0	256	internal://	InTimedOutInterests	0	0	0	0
2.5	0	256	internal://	OutSatisfiedInterests	0	0	0	0
2.5	0	256	internal://	OutTimedOutInterests	0	0	0	0
2.5	0	257	appFace://	InInterests	0.256	0	0	0
2.5	0	257	appFace://	OutInterests	0.704	0	0	0
2.5	0	257	appFace://	InData	0.128	0.063	0	0
2.5	0	257	appFace://	OutData	0	0	0	0
2.5	0	257	appFace://	InNacks	0	0	0	0
2.5	0	257	appFace://	OutNacks	0	0	0	0
2.5	0	257	appFace://	InSatisfiedInterests	0	0	0	0
2.5	0	257	appFace://	InTimedOutInterests	0	0	0	0
2.5	0	257	appFace://	OutSatisfiedInterests	0.128	0	0	0
2.5	0	257	appFace://	OutTimedOutInterests	0	0	0	0
2.5	0	258	appFace://	InInterests	0.384	0	0	0
2.5	0	258	appFace://	OutInterests	0.704	0	0	0
2.5	0	258	appFace://	InData	0	0	0	0
2.5	0	258	appFace://	OutData	0.128	0.063	0	0
2.5	0	258	appFace://	InNacks	0	0	0	0
2.5	0	258	appFace://	OutNacks	0	0	0	0
2.5	0	258	appFace://	InSatisfiedInterests	0.128	0	0	0
2.5	0	258	appFace://	InTimedOutInterests	0	0	0	0
2.5	0	258	appFace://	OutSatisfiedInterests	0.128	0	0	0
2.5	0	258	appFace://	OutTimedOutInterests	0	0	0	0
2.5	0	259	appFace://	InInterests	0.448	0	0	0
2.5	0	259	appFace://	OutInterests	0.64	0	0	0
2.5	0	259	appFace://	InData	0	0	0	0
2.5	0	259	appFace://	OutData	0.128	0.063	0	0
2.5	0	259	appFace://	InNacks	0	0	0	0
2.5	0	259	appFace://	OutNacks	0	0	0	0
2.5	0	259	appFace://	InSatisfiedInterests	0.128	0	0	0
2.5	0	259	appFace://	InTimedOutInterests	0	0	0	0
2.5	0	259	appFace://	OutSatisfiedInterests	0.128	0	0	0
2.5	0	259	appFace://	OutTimedOutInterests	0	0	0	0
2.5	0	-1	all	SatisfiedInterests	0.14848	0	0	0
2.5	0	-1	all	TimedOutInterests	0	0	0	0
3	0	1	internal://	InInterests	0	0	0	0
3	0	1	internal://	OutInterests	0	0	0	0
3	0	1	internal://	InData	0	0	0	0
3	0	1	internal://	OutData	0	0	0	0
3	0	1	internal://	InNacks	0	0	0	0
3	0	1	internal://	OutNacks	0	0	0	0
3	0	1	internal://	InSatisfiedInterests	0	0	0	0
3	0	1	internal://	InTimedOutInterests	0	0	0	0
3	0	1	internal://	OutSatisfiedInterests	0.003584	0	0	0
3	0	1	internal://	OutTimedOutInterests	0	0	0	0
3	0	2	internal://	InInterests	0	0	0	0
3	0	2	internal://	OutInterests	0	0	0	0
3	0	2	internal://	InData	0	0	0	0
3	0	2	internal://	OutData	0	0	0	0
3	0	2	internal://	InNacks	0	0	0	0
3	0	2	internal://	OutNacks	0	0	0	0
3	0	2	internal://	InSatisfiedInterests	0.002048	0	0	0
3	0	2	internal://	InTimedOutInterests	0	0	0	0
3	0	2	internal://	OutSatisfiedInterests	0	0	0	0
3	0	2	internal://	OutTimedOutInterests	0	0	0	0
3	0	256	internal://	InInterests	0	0	0	0
3	0	256	internal://	OutInterests	0	0	0	0
3	0	256	internal://	InData	0	0	0	0
3	0	256	internal://	OutData	0	0	0	0
3	0	256	internal://	InNacks	0	0	0	0
3	0	256	internal://	OutNacks	0	0	0	0
3	0	256	internal://	InSatisfiedInterests	0.001536	0	0	0
3	0	256	internal://	InTimedOutInterests	0	0	0	0
3	0	256	internal://	OutSatisfiedInterests	0	0	0	0
3	0	256	internal://	OutTimedOutInterests	0	0	0	0
3	0	257	appFace://	InInterests	0.0512	0	0	0
3	0	257	appFace://	OutInterests	0.1408	0	0	0
3	0	257	appFace://	InData	0.0256	0.0126	0	0
3	0	257	appFace://	OutData	0	0	0	0
3	0	257	appFace://	InNacks	0	0	0	0
3	0	257	appFace://	OutNacks	0	0	0	0
3	0	257	appFace://	InSatisfiedInterests	0	0	0	0
3	0	257	appFace://	InTimedOutInterests	0	0	0	0
3	0	257	appFace://	OutSatisfiedInterests	0.0256	0	0	0
3	0	257	appFace://	OutTimedOutInterests	0	0	0	0
3	0	258	appFace://	InInterests	0.0768	0	0	0
3	0	258	appFace://	OutInterests	0.1408	0	0	0
3	0	258	appFace://	InData	0	0	0	0
3	0	258	appFace://	OutData	0.0256	0.0126	0	0
3	0	258	appFace://	InNacks	0	0	0	0
3	0	258	appFace://	OutNacks	0	0	0	0
3	0	258	appFace://	InSatisfiedInterests	0.0256	0	0	0
3	0	258	appFace://	InTimedOutInterests	0	0	0	0
3	0	258	appFace://	OutSatisfiedInterests	0.0256	0	0	0
3	0	258	appFace://	OutTimedOutInterests	0	0	0	0
3	0	259	appFace://	InInterests	0.0896	0	0	0
3	0	259	appFace://	OutInterests	0.128	0	0	0
3	0	259	appFace://	InData	0	0	0	0
3	0	259	appFace://	OutData	0.0256	0.0126	0	0
3	0	259	appFace://	InNacks	0	0	0	0
3	0	259	appFace://	OutNacks	0	0	0	0
3	0	259	appFace://	InSatisfiedInterests	0.0256	0	0	0
3	0	259	appFace://	InTimedOutInterests	0	0	0	0
3	0	259	appFace://	OutSatisfiedInterests	0.0256	0	0	0
3	0	259	appFace://	OutTimedOutInterests	0	0	0	0
3	0	-1	all	SatisfiedInterests	0.029696	0	0	0
3	0	-1	all	TimedOutInterests	0	0	0	0
3.5	0	1	internal://	InInterests	0	0	0	0
3.5	0	1	internal://	OutInterests	0	0	0	0
3.5	0	1	internal://	InData	0	0	0	0
3.5	0	1	internal://	OutData	0	0	0	0
3.5	0	1	internal://	InNacks	0	0	0	0
3.5	0	1	internal://	OutNacks	0	0	0	0
3.5	0	1	internal://	InSatisfiedInterests	0	0	0	0
3.5	0	1	internal://	InTimedOutInterests	0	0	0	0
3.5	0	1	internal://	OutSatisfiedInterests	0.0007168	0	0	0
3.5	0	1	internal://	OutTimedOutInterests	0	0	0	0
3.5	0	2	internal://	InInterests	0	0	0	0
3.5	0	2	internal://	OutInterests	0	0	0	0
3.5	0	2	internal://	InData	0	0	0	0
3.5	0	2	internal://	OutData	0	0	0	0
3.5	0	2	internal://	InNacks	0	0	0	0
3.5	0	2	internal://	OutNacks	0	0	0	0
3.5	0	2	internal://	InSatisfiedInterests	0.0004096	0	0	0
3.5	0	2	internal://	InTimedOutInterests	0	0	0	0
3.5	0	2	internal://	OutSatisfiedInterests	0	0	0	0
3.5	0	2	internal://	OutTimedOutInterests	0	0	0	0
3.5	0	256	internal://	InInterests	0	0	0	0
3.5	0	256	internal://	OutInterests	0	0	0	0
3.5	0	256	internal://	InData	0	0	0	0
3.5	0	256	internal://	OutData	0	0	0	0
3.5	0	256	internal://	InNacks	0	0	0	0
3.5	0	256	internal://	OutNacks	0	0	0	0
3.5	0	256	internal://	InSatisfiedInterests	0.0003072	0	0	0
3.5	0	256	internal://	InTimedOutInterests	0	0	0	0
3.5	0	256	internal://	OutSatisfiedInterests	0	0	0	0
3.5	0	256	internal://	OutTimedOutInterests	0	0	0	0
3.5	0	257	appFace://	InInterests	0.01024	0	0	0
3.5	0	257	appFace://	OutInterests	0.02816	0	0	0
3.5	0	257	appFace://	InData	0.00512	0.00252	0	0
3.5	0	257	appFace://	OutData	0	0	0	0
3.5	0	257	appFace://	InNacks	0	0	0	0
3.5	0	257	appFace://	OutNacks	0	0	0	0
3.5	0	257	appFace://	InSatisfiedInterests	0	0	0	0
3.5	0	257	appFace://	InTimedOutInterests	0	0	0	0
3.5	0	257	appFace://	OutSatisfiedInterests	0.00512	0	0	0
3.5	0	257	appFace://	OutTimedOutInterests	0	0	0	0
3.5	0	258	appFace://	InInterests	0.01536	0	0	0
3.5	0	258	appFace://	OutInterests	0.02816	0	0	0
3.5	0	258	appFace://	InData	0	0	0	0
3.5	0	258	appFace://	OutData	0.00512	0.00252	0	0
3.5	0	258	appFace://	InNacks	0	0	0	0
3.5	0	258	appFace://	OutNacks	0	0	0	0
3.5	0	258	appFace://	InSatisfiedInterests	0.00512	0	0	0
3.5	0	258	appFace://	InTimedOutInterests	0	0	0	0
3.5	0	258	appFace://	OutSatisfiedInterests	0.00512	0	0	0
3.5	0	258	appFace://	OutTimedOutInterests	0	0	0	0
3.5	0	259	appFace://	InInterests	0.01792	0	0	0
3.5	0	259	appFace://	OutInterests	0.0256	0	0	0
3.5	0	259	appFace://	InData	0	0	0	0
3.5	0	259	appFace://	OutData	0.00512	0.00252	0	0
3.5	0	259	appFace://	InNacks	0	0	0	0
3.5	0	259	appFace://	OutNacks	0	0	0	0
3.5	0	259	appFace://	InSatisfiedInterests	0.00512	0	0	0
3.5	0	259	appFace://	InTimedOutInterests	0	0	0	0
3.5	0	259	appFace://	OutSatisfiedInterests	0.00512	0	0	0
3.5	0	259	appFace://	OutTimedOutInterests	0	0	0	0
3.5	0	-1	all	SatisfiedInterests	0.0059392	0	0	0
3.5	0	-1	all	TimedOutInterests	0	0	0	0
4	0	1	internal://	InInterests	0	0	0	0
4	0	1	internal://	OutInterests	0	0	0	0
4	0	1	internal://	InData	0	0	0	0
4	0	1	internal://	OutData	0	0	0	0
4	0	1	internal://	InNacks	0	0	0	0
4	0	1	internal://	OutNacks	0	0	0	0
4	0	1	internal://	InSatisfiedInterests	0	0	0	0
4	0	1	internal://	InTimedOutInterests	0	0	0	0
4	0	1	internal://	OutSatisfiedInterests	0.00014336	0	0	0
4	0	1	internal://	OutTimedOutInterests	0	0	0	0
4	0	2	internal://	InInterests	0	0	0	0
4	0	2	internal://	OutInterests	0	0	0	0
4	0	2	internal://	InData	0	0	0	0
4	0	2	internal://	OutData	0	0	0	0
4	0	2	internal://	InNacks	0	0	0	0
4	0	2	internal://	OutNacks	0	0	0	0
4	0	2	internal://	InSatisfiedInterests	8.192e-05	0	0	0
4	0	2	internal://	InTimedOutInterests	0	0	0	0
4	0	2	internal://	OutSatisfiedInterests	0	0	0	0
4	0	2	internal://	OutTimedOutInterests	0	0	0	0
4	0	256	internal://	InInterests	0	0	0	0
4	0	256	internal://	OutInterests	0	0	0	0
4	0	256	internal://	InData	0	0	0	0
4	0	256	internal://	OutData	0	0	0	0
4	0	256	internal://	InNacks	0	0	0	0
4	0	256	internal://	OutNacks	0	0	0	0
4	0	256	internal://	InSatisfiedInterests	6.144e-05	0	0	0
4	0	256	internal://	InTimedOutInterests	0	0	0	0
4	0	256	internal://	OutSatisfiedInterests	0	0	0	0
4	0	256	internal://	OutTimedOutInterests	0	0	0	0
4	0	257	appFace://	InInterests	0.002048	0	0	0
4	0	257	appFace://	OutInterests	0.005632	0	0	0
4	0	257	appFace://	InData	0.001024	0.000504	0	0
4	0	257	appFace://	OutData	0	0	0	0
4	0	257	appFace://	InNacks	0	0	0	0
4	0	257	appFace://	OutNacks	0	0	0	0
4	0	257	appFace://	InSatisfiedInterests	0	0	0	0
4	0	257	appFace://	InTimedOutInterests	0	0	0	0
4	0	257	appFace://	OutSatisfiedInterests	0.001024	0	0	0
4	0	257	appFace://	OutTimedOutInterests	0	0	0	0
4	0	258	appFace://	InInterests	0.003072	0	0	0
4	0	258	appFace://	OutInterests	0.005632	0	0	0
4	0	258	appFace://	InData	0	0	0	0
4	0	258	appFace://	OutData	0.001024	0.000504	0	0
4	0	258	appFace://	InNacks	0	0	0	0
4	0	258	appFace://	OutNacks	0	0	0	0
4	0	258	appFace://	InSatisfiedInterests	0.001024	0	0	0
4	0	258	appFace://	InTimedOutInterests	0	0	0	0
4	0	258	appFace://	OutSatisfiedInterests	0.001024	0	0	0
4	0	258	appFace://	OutTimedOutInterests	0	0	0	0
4	0	259	appFace://	InInterests	0.003584	0	0	0
4	0	259	appFace://	OutInterests	0.00512	0	0	0
4	0	259	appFace://	InData	0	0	0	0
4	0	259	appFace://	OutData	0.001024	0.000504	0	0
4	0	259	appFace://	InNacks	0	0	0	0
4	0	259	appFace://	OutNacks	0	0	0	0
4	0	259	appFace://	InSatisfiedInterests	0.001024	0	0	0
4	0	259	appFace://	InTimedOutInterests	0	0	0	0
4	0	259	appFace://	OutSatisfiedInterests	0.001024	0	0	0
4	0	259	appFace://	OutTimedOutInterests	0	0	0	0
4	0	-1	all	SatisfiedInterests	0.00118784	0	0	0
4	0	-1	all	TimedOutInterests	0	0	0	0
4.5	0	1	internal://	InInterests	0	0	0	0
4.5	0	1	internal://	OutInterests	0	0	0	0
4.5	0	1	internal://	InData	0	0	0	0
4.5	0	1	internal://	OutData	0	0	0	0
4.5	0	1	internal://	InNacks	0	0	0	0
4.5	0	1	internal://	OutNacks	0	0	0	0
4.5	0	1	internal://	InSatisfiedInterests	0	0	0	0
4.5	0	1	internal://	InTimedOutInterests	0	0	0	0
4.5	0	1	internal://	OutSatisfiedInterests	2.8672e-05	0	0	0
4.5	0	1	internal://	OutTimedOutInterests	0	0	0	0
4.5	0	2	internal://	InInterests	0	0	0	0
4.5	0	2	internal://	OutInterests	0	0	0	0
4.5	0	2	internal://	InData	0	0	0	0
4.5	0	2	internal://	OutData	0	0	0	0
4.5	0	2	internal://	InNacks	0	0	0	0
4.5	0	2	internal://	OutNacks	0	0	0	0
4.5	0	2	internal://	InSatisfiedInterests	1.6384e-05	0	0	0
4.5	0	2	internal://	InTimedOutInterests	0	0	0	0
4.5	0	2	internal://	OutSatisfiedInterests	0	0	0	0
4.5	0	2	internal://	OutTimedOutInterests	0	0	0	0
4.5	0	256	internal://	InInterests	0	0	0	0
4.5	0	256	internal://	OutInterests	0	0	0	0
4.5	0	256	internal://	InData	0	0	0	0
4.5	0	256	internal://	OutData	0	0	0	0
4.5	0	256	internal://	InNacks	0	0	0	0
4.5	0	256	internal://	OutNacks	0	0	0	0
4.5	0	256	internal://	InSatisfiedInterests	1.2288e-05	0	0	0
4.5	0	256	internal://	InTimedOutInterests	0	0	0	0
4.5	0	256	internal://	OutSatisfiedInterests	0	0	0	0
4.5	0	256	internal://	OutTimedOutInterests	0	0	0	0
4.5	0	257	appFace://	InInterests	0.0004096	0	0	0
4.5	0	257	appFace://	OutInterests	0.0011264	0	0	0
4.5	0	257	appFace://	InData	0.0002048	0.0001008	0	0
4.5	0	257	appFace://	OutData	0	0	0	0
4.5	0	257	appFace://	InNacks	0	0	0	0
4.5	0	257	appFace://	OutNacks	0	0	0	0
4.5	0	257	appFace://	InSatisfiedInterests	0	0	0	0
4.5	0	257	appFace://	InTimedOutInterests	0	0	0	0
4.5	0	257	appFace://	OutSatisfiedInterests	0.0002048	0	0	0
4.5	0	257	appFace://	OutTimedOutInterests	0	0	0	0
4.5	0	258	appFace://	InInterests	0.0006144	0	0	0
4.5	0	258	appFace://	OutInterests	0.0011264	0	0	0
4.5	0	258	appFace://	InData	0	0	0	0
4.5	0	258	appFace://	OutData	0.0002048	0.0001008	0	0
4.5	0	258	appFace://	InNacks	0	0	0	0
4.5	0	258	appFace://	OutNacks	0	0	0	0
4.5	0	258	appFace://	InSatisfiedInterests	0.0002048	0	0	0
4.5	0	258	appFace://	InTimedOutInterests	0	0	0	0
4.5	0	258	appFace://	OutSatisfiedInterests	0.0002048	0	0	0
4.5	0	258	appFace://	OutTimedOutInterests	0	0	0	0
4.5	0	259	appFace://	InInterests	0.0007168	0	0	0
4.5	0	259	appFace://	OutInterests	0.001024	0	0	0
4.5	0	259	appFace://	InData	0	0	0	0
4.5	0	259	appFace://	OutData	0.0002048	0.0001008	0	0
4.5	0	259	appFace://	InNacks	0	0	0	0
4.5	0	259	appFace://	OutNacks	0	0	0	0
4.5	0	259	appFace://	InSatisfiedInterests	0.0002048	0	0	0
4.5	0	259	appFace://	InTimedOutInterests	0	0	0	0
4.5	0	259	appFace://	OutSatisfiedInterests	0.0002048	0	0	0
4.5	0	259	appFace://	OutTimedOutInterests	0	0	0	0
4.5	0	-1	all	SatisfiedInterests	0.000237568	0	0	0
4.5	0	-1	all	TimedOutInterests	0	0	0	0
5	0	1	internal://	InInterests	0	0	0	0
5	0	1	internal://	OutInterests	0	0	0	0
5	0	1	internal://	InData	0	0	0	0
